,Team,Opponent,Date,Result,Bowling,O,M,R,W,NB,WD,E/R
4,Spain,Italy,| Thursday 7th October | 13:00,Spain beat Italy by 2 runs,Adeel Raja,2,0,22,1,0,1,11
5,Spain,Italy,| Thursday 7th October | 13:00,Spain beat Italy by 2 runs,Yasir Ali,1,0,12,2,0,0,12
0,Italy,Spain,| Thursday 7th October | 13:00,Spain beat Italy by 2 runs,Atif Mehmood,2,0,24,2,0,0,12
1,Italy,Spain,| Thursday 7th October | 13:00,Spain beat Italy by 2 runs,Ravi Panchal,2,0,15,2,0,1,7.50
2,Italy,Spain,| Thursday 7th October | 13:00,Spain beat Italy by 2 runs,Zulqarnain Haider,2,0,28,0,0,0,14
3,Italy,Spain,| Thursday 7th October | 13:00,Spain beat Italy by 2 runs,Kuldeep Lal,1,0,20,0,0,0,20
4,Italy,Spain,| Thursday 7th October | 13:00,Spain beat Italy by 2 runs,Adeel Raja,2,0,22,1,0,1,11
5,Italy,Spain,| Thursday 7th October | 13:00,Spain beat Italy by 2 runs,Yasir Ali,1,0,12,2,0,0,12
0,England XI,Belgium,| Thursday 7th October | 11:00,England XI beat Belgium by 80 runs,Rich Edwards,1,0,7,0,0,1,7
1,England XI,Belgium,| Thursday 7th October | 11:00,England XI beat Belgium by 80 runs,Alex Russell,2,0,31,1,0,0,15.50
2,England XI,Belgium,| Thursday 7th October | 11:00,England XI beat Belgium by 80 runs,Zaman Akhter,2,0,16,3,0,0,8
3,England XI,Belgium,| Thursday 7th October | 11:00,England XI beat Belgium by 80 runs,Andy Rishton,2,0,16,1,0,0,8
4,England XI,Belgium,| Thursday 7th October | 11:00,England XI beat Belgium by 80 runs,Sam Pearce,2,0,26,0,0,0,13
5,England XI,Belgium,| Thursday 7th October | 11:00,England XI beat Belgium by 80 runs,Arthur Godsal,1,0,2,1,0,1,2
0,Belgium,England XI,| Thursday 7th October | 11:00,England XI beat Belgium by 80 runs,Rich Edwards,1,0,7,0,0,1,7
1,Belgium,England XI,| Thursday 7th October | 11:00,England XI beat Belgium by 80 runs,Alex Russell,2,0,31,1,0,0,15.50
2,Belgium,England XI,| Thursday 7th October | 11:00,England XI beat Belgium by 80 runs,Zaman Akhter,2,0,16,3,0,0,8
3,Belgium,England XI,| Thursday 7th October | 11:00,England XI beat Belgium by 80 runs,Andy Rishton,2,0,16,1,0,0,8
4,Belgium,England XI,| Thursday 7th October | 11:00,England XI beat Belgium by 80 runs,Sam Pearce,2,0,26,0,0,0,13
5,Belgium,England XI,| Thursday 7th October | 11:00,England XI beat Belgium by 80 runs,Arthur Godsal,1,0,2,1,0,1,2
0,Austria,Spain,| Thursday 7th October | 09:00,Spain beat Austria by 8 wickets,Zeeshan Goraya,2,0,18,0,0,0,9
1,Austria,Spain,| Thursday 7th October | 09:00,Spain beat Austria by 8 wickets,Sahel Zadran,2,0,22,1,0,0,11
2,Austria,Spain,| Thursday 7th October | 09:00,Spain beat Austria by 8 wickets,Shahil Momin,1,0,15,0,0,0,15
3,Austria,Spain,| Thursday 7th October | 09:00,Spain beat Austria by 8 wickets,Imran Asif,1,0,10,0,0,0,10
4,Austria,Spain,| Thursday 7th October | 09:00,Spain beat Austria by 8 wickets,Bilal Zalmai,1,0,15,0,0,0,15
5,Austria,Spain,| Thursday 7th October | 09:00,Spain beat Austria by 8 wickets,Jaweed Sadran,1.5,0,39,0,1,4,21.27
0,Spain,Austria,| Thursday 7th October | 09:00,Spain beat Austria by 8 wickets,Zeeshan Goraya,2,0,18,0,0,0,9
1,Spain,Austria,| Thursday 7th October | 09:00,Spain beat Austria by 8 wickets,Sahel Zadran,2,0,22,1,0,0,11
2,Spain,Austria,| Thursday 7th October | 09:00,Spain beat Austria by 8 wickets,Shahil Momin,1,0,15,0,0,0,15
3,Spain,Austria,| Thursday 7th October | 09:00,Spain beat Austria by 8 wickets,Imran Asif,1,0,10,0,0,0,10
4,Spain,Austria,| Thursday 7th October | 09:00,Spain beat Austria by 8 wickets,Bilal Zalmai,1,0,15,0,0,0,15
5,Spain,Austria,| Thursday 7th October | 09:00,Spain beat Austria by 8 wickets,Jaweed Sadran,1.5,0,39,0,1,4,21.27
0,Netherlands XI,England XI,| Thursday 7th October | 07:00,England XI beat Netherlands XI by 8 wickets,Aryan Dutt,1,0,14,0,0,1,14
1,Netherlands XI,England XI,| Thursday 7th October | 07:00,England XI beat Netherlands XI by 8 wickets,Viv Kingma,2,0,23,0,0,1,11.50
2,Netherlands XI,England XI,| Thursday 7th October | 07:00,England XI beat Netherlands XI by 8 wickets,Ryan Klein,1,0,21,1,0,0,21
3,Netherlands XI,England XI,| Thursday 7th October | 07:00,England XI beat Netherlands XI by 8 wickets,Clayton Floyd,1,0,19,0,0,0,19
4,Netherlands XI,England XI,| Thursday 7th October | 07:00,England XI beat Netherlands XI by 8 wickets,Sebastiaan Braat (c),1,0,21,0,0,0,21
5,Netherlands XI,England XI,| Thursday 7th October | 07:00,England XI beat Netherlands XI by 8 wickets,Shariz Ahmad,1.3,0,21,1,0,1,14
0,England XI,Netherlands XI,| Thursday 7th October | 07:00,England XI beat Netherlands XI by 8 wickets,Aryan Dutt,1,0,14,0,0,1,14
1,England XI,Netherlands XI,| Thursday 7th October | 07:00,England XI beat Netherlands XI by 8 wickets,Viv Kingma,2,0,23,0,0,1,11.50
2,England XI,Netherlands XI,| Thursday 7th October | 07:00,England XI beat Netherlands XI by 8 wickets,Ryan Klein,1,0,21,1,0,0,21
3,England XI,Netherlands XI,| Thursday 7th October | 07:00,England XI beat Netherlands XI by 8 wickets,Clayton Floyd,1,0,19,0,0,0,19
4,England XI,Netherlands XI,| Thursday 7th October | 07:00,England XI beat Netherlands XI by 8 wickets,Sebastiaan Braat (c),1,0,21,0,0,0,21
5,England XI,Netherlands XI,| Thursday 7th October | 07:00,England XI beat Netherlands XI by 8 wickets,Shariz Ahmad,1.3,0,21,1,0,1,14
0,Austria,Italy,| Wednesday 6th October | 15:00,Italy beat Austria by 7 wickets,Aqib Iqbal,1,0,18,0,0,0,18
1,Austria,Italy,| Wednesday 6th October | 15:00,Italy beat Austria by 7 wickets,Ahsan Yousuf,2,0,31,1,0,0,15.50
2,Austria,Italy,| Wednesday 6th October | 15:00,Italy beat Austria by 7 wickets,Shahil Momin,1,0,16,0,0,0,16
3,Austria,Italy,| Wednesday 6th October | 15:00,Italy beat Austria by 7 wickets,Imran Asif,2,0,22,1,0,0,11
4,Austria,Italy,| Wednesday 6th October | 15:00,Italy beat Austria by 7 wickets,Sahel Zadran,2,0,11,1,0,0,5.50
0,Italy,Austria,| Wednesday 6th October | 15:00,Italy beat Austria by 7 wickets,Aqib Iqbal,1,0,18,0,0,0,18
1,Italy,Austria,| Wednesday 6th October | 15:00,Italy beat Austria by 7 wickets,Ahsan Yousuf,2,0,31,1,0,0,15.50
2,Italy,Austria,| Wednesday 6th October | 15:00,Italy beat Austria by 7 wickets,Shahil Momin,1,0,16,0,0,0,16
3,Italy,Austria,| Wednesday 6th October | 15:00,Italy beat Austria by 7 wickets,Imran Asif,2,0,22,1,0,0,11
4,Italy,Austria,| Wednesday 6th October | 15:00,Italy beat Austria by 7 wickets,Sahel Zadran,2,0,11,1,0,0,5.50
0,Belgium,Spain,| Wednesday 6th October | 13:00,Spain beat Belgium by 5 wickets,Faisal Mehmood,2,0,25,1,2,2,12.50
1,Belgium,Spain,| Wednesday 6th October | 13:00,Spain beat Belgium by 5 wickets,Murid Ekrami,2,0,24,2,1,1,12
2,Belgium,Spain,| Wednesday 6th October | 13:00,Spain beat Belgium by 5 wickets,Waqas Raja,2,0,8,2,0,3,4
3,Belgium,Spain,| Wednesday 6th October | 13:00,Spain beat Belgium by 5 wickets,Khalid Ahmadzai,1.3,0,19,0,0,1,12.66
4,Belgium,Spain,| Wednesday 6th October | 13:00,Spain beat Belgium by 5 wickets,Burhan Niaz,1,0,19,0,0,0,19
0,Spain,Belgium,| Wednesday 6th October | 13:00,Spain beat Belgium by 5 wickets,Faisal Mehmood,2,0,25,1,2,2,12.50
1,Spain,Belgium,| Wednesday 6th October | 13:00,Spain beat Belgium by 5 wickets,Murid Ekrami,2,0,24,2,1,1,12
2,Spain,Belgium,| Wednesday 6th October | 13:00,Spain beat Belgium by 5 wickets,Waqas Raja,2,0,8,2,0,3,4
3,Spain,Belgium,| Wednesday 6th October | 13:00,Spain beat Belgium by 5 wickets,Khalid Ahmadzai,1.3,0,19,0,0,1,12.66
4,Spain,Belgium,| Wednesday 6th October | 13:00,Spain beat Belgium by 5 wickets,Burhan Niaz,1,0,19,0,0,0,19
0,Austria,England XI,| Wednesday 6th October | 11:00,England XI beat Austria by 9 wickets,Aqib Iqbal,1,0,17,0,0,0,17
1,Austria,England XI,| Wednesday 6th October | 11:00,England XI beat Austria by 9 wickets,Sahel Zadran,2,0,20,0,0,1,10
2,Austria,England XI,| Wednesday 6th October | 11:00,England XI beat Austria by 9 wickets,Bilal Zalmai,2,0,38,1,0,2,19
3,Austria,England XI,| Wednesday 6th October | 11:00,England XI beat Austria by 9 wickets,Ahsan Yousuf,1,0,15,0,0,1,15
4,Austria,England XI,| Wednesday 6th October | 11:00,England XI beat Austria by 9 wickets,Shahil Momin,0.3,0,19,0,1,0,38
0,England XI,Austria,| Wednesday 6th October | 11:00,England XI beat Austria by 9 wickets,Aqib Iqbal,1,0,17,0,0,0,17
1,England XI,Austria,| Wednesday 6th October | 11:00,England XI beat Austria by 9 wickets,Sahel Zadran,2,0,20,0,0,1,10
2,England XI,Austria,| Wednesday 6th October | 11:00,England XI beat Austria by 9 wickets,Bilal Zalmai,2,0,38,1,0,2,19
3,England XI,Austria,| Wednesday 6th October | 11:00,England XI beat Austria by 9 wickets,Ahsan Yousuf,1,0,15,0,0,1,15
4,England XI,Austria,| Wednesday 6th October | 11:00,England XI beat Austria by 9 wickets,Shahil Momin,0.3,0,19,0,1,0,38
0,Netherlands XI,Belgium,| Wednesday 6th October | 09:00,Netherlands XI beat Belgium by 11 runs,Viv Kingma,2,0,16,0,0,0,8
